iter	Passed	Remaining
595	144093	97673
596	144326	97426
597	144557	97177
598	144787	96928
599	145016	96677
600	145250	96430
601	145477	96179
602	145715	95935
603	145946	95686
604	146189	95445
605	146419	95196
606	146653	94950
607	146884	94702
608	147121	94457
609	147355	94210
610	147582	93960
611	147826	93720
612	148088	93491
613	148343	93258
614	148590	93019
615	148836	92781
616	149081	92541
617	149315	92295
618	149556	92053
619	149802	91814
620	150037	91568
621	150270	91321
622	150502	91074
623	150735	90827
624	150969	90581
625	151201	90334
626	151432	90086
627	151668	89842
628	151894	89590
629	152128	89345
630	152357	89096
631	152590	88850
632	152826	88605
633	153064	88362
634	153302	88118
635	153540	87875
636	153776	87630
637	154004	87381
638	154237	87135
639	154472	86890
640	154703	86643
641	154934	86396
642	155168	86150
643	155400	85904
644	155635	85659
645	155866	85412
646	156103	85169
647	156336	84923
648	156570	84678
649	156807	84434
650	157041	84189
651	157273	83943
652	157506	83697
653	157743	83454
654	157999	83221
655	158247	82983
656	158499	82748
657	158754	82513
658	158999	82274
659	159248	82037
660	159495	81798
661	159723	81550
662	159949	81301
663	160178	81054
664	160412	80809
665	160649	80566
666	160886	80322
667	161117	80076
668	161345	79828
669	161576	79582
670	161808	79336
671	162041	79091
672	162275	78846
673	162506	78601
674	162743	78358
675	162978	78113
676	163203	77865
677	163459	77631
678	163734	77406
679	164018	77185
680	164303	76964
681	164590	76744
682	164887	76529
683	165193	76317
684	165496	76104
685	165778	75881
686	166020	75639
687	166254	75394
688	166492	75150
689	166726	74906
690	166960	74661
691	167195	74416
692	167425	74169
693	167665	73927
694	167899	73682
695	168131	73436
696	168365	73191
697	168597	72946
698	168832	72701
699	169065	72456
700	169302	72213
701	169536	71968
702	169765	71721
703	169998	71476
704	170244	71237
705	170478	70992
706	170712	70747
707	170940	70500
708	171171	70255
709	171405	70010
710	171638	69765
711	171876	69523
712	172108	69277
713	172341	69032
714	172571	68787
715	172802	68541
716	173042	68299
717	173271	68053
718	173501	67808
719	173733	67563
720	173967	67318
721	174196	67072
722	174430	66828
723	174663	66584
724	174894	66339
725	175127	66095
726	175359	65850
727	175607	65611
728	175836	65365
729	176074	65123
730	176304	64878
731	176537	64633
732	176770	64389
733	176998	64143
734	177231	63899
735	177465	63656
736	177697	63411
737	177940	63171
738	178169	62925
739	178399	62680
740	178644	62441
741	178897	62204
742	179152	61968
743	179402	61729
744	179652	61491
745	179892	61250
746	180150	61014
747	180389	60772
748	180623	60529
749	180858	60286
750	181105	60046
751	181351	59807
752	181590	59565
753	181831	59324
754	182079	59085
